match,group,is_participating,start,end,content
1,0,yes,42,148,"positions=[0.016873789951205254, 0.004601942375302315, 0.04448544234037399, 0.006135923322290182, 0.0], ve"
1,1,yes,53,143,"0.016873789951205254, 0.004601942375302315, 0.04448544234037399, 0.006135923322290182, 0.0"
2,0,yes,299,356,"positions=[0.03, 0.020000000000000004, 0.0, 0.0, 0.0], ve"
2,1,yes,310,351,"0.03, 0.020000000000000004, 0.0, 0.0, 0.0"
3,0,yes,515,571,"positions=[0.06, 0.04000000000000001, 0.0, 0.0, 0.0], ve"
3,1,yes,526,566,"0.06, 0.04000000000000001, 0.0, 0.0, 0.0"
4,0,yes,730,786,"positions=[0.09, 0.06000000000000001, 0.0, 0.0, 0.0], ve"
4,1,yes,741,781,"0.09, 0.06000000000000001, 0.0, 0.0, 0.0"
5,0,yes,945,1001,"positions=[0.12, 0.08000000000000002, 0.0, 0.0, 0.0], ve"
5,1,yes,956,996,"0.12, 0.08000000000000002, 0.0, 0.0, 0.0"
6,0,yes,1160,1216,"positions=[0.15, 0.10000000000000002, 0.0, 0.0, 0.0], ve"
6,1,yes,1171,1211,"0.15, 0.10000000000000002, 0.0, 0.0, 0.0"
7,0,yes,1375,1431,"positions=[0.18, 0.12000000000000002, 0.0, 0.0, 0.0], ve"
7,1,yes,1386,1426,"0.18, 0.12000000000000002, 0.0, 0.0, 0.0"
8,0,yes,1590,1631,"positions=[0.21, 0.14, 0.0, 0.0, 0.0], ve"
8,1,yes,1601,1626,"0.21, 0.14, 0.0, 0.0, 0.0"
9,0,yes,1790,1846,"positions=[0.24, 0.16000000000000003, 0.0, 0.0, 0.0], ve"
9,1,yes,1801,1841,"0.24, 0.16000000000000003, 0.0, 0.0, 0.0"
10,0,yes,2005,2061,"positions=[0.27, 0.18000000000000005, 0.0, 0.0, 0.0], ve"
10,1,yes,2016,2056,"0.27, 0.18000000000000005, 0.0, 0.0, 0.0"
11,0,yes,2220,2291,"positions=[0.30000000000000004, 0.20000000000000007, 0.0, 0.0, 0.0], ve"
11,1,yes,2231,2286,"0.30000000000000004, 0.20000000000000007, 0.0, 0.0, 0.0"
12,0,yes,2451,2522,"positions=[0.33000000000000007, 0.22000000000000008, 0.0, 0.0, 0.0], ve"
12,1,yes,2462,2517,"0.33000000000000007, 0.22000000000000008, 0.0, 0.0, 0.0"
13,0,yes,2682,2752,"positions=[0.2700000000000001, 0.20000000000000007, 0.0, 0.0, 0.0], ve"
13,1,yes,2693,2747,"0.2700000000000001, 0.20000000000000007, 0.0, 0.0, 0.0"
14,0,yes,2912,2983,"positions=[0.21000000000000008, 0.18000000000000005, 0.0, 0.0, 0.0], ve"
14,1,yes,2923,2978,"0.21000000000000008, 0.18000000000000005, 0.0, 0.0, 0.0"
15,0,yes,3143,3214,"positions=[0.15000000000000008, 0.16000000000000003, 0.0, 0.0, 0.0], ve"
15,1,yes,3154,3209,"0.15000000000000008, 0.16000000000000003, 0.0, 0.0, 0.0"
